INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:44:03
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:44:03
INFO     | server.py -> accept | new client joined: 49735 |2019-12-13 21:44:03
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:44:03
INFO     | tracker.py -> handle_connection | client connected: 49735 |2019-12-13 21:44:03
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:44:03
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:44:03
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:44:03
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:44:03
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:45:33
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:45:35
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:45:35
INFO     | server.py -> accept | new client joined: 49739 |2019-12-13 21:45:35
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:45:35
INFO     | tracker.py -> handle_connection | client connected: 49739 |2019-12-13 21:45:35
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:45:35
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:45:35
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:45:35
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:45:35
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:46:43
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:46:46
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:46:46
INFO     | server.py -> accept | new client joined: 49749 |2019-12-13 21:46:46
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:46:46
INFO     | tracker.py -> handle_connection | client connected: 49749 |2019-12-13 21:46:46
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:46:46
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:46:46
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:46:46
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:46:46
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:48:13
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:48:15
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:48:15
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:48:15
INFO     | server.py -> accept | new client joined: 49761 |2019-12-13 21:48:15
INFO     | tracker.py -> handle_connection | client connected: 49761 |2019-12-13 21:48:15
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:48:15
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:48:15
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:48:15
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:48:15
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:48:47
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:48:50
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:48:50
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:48:50
INFO     | server.py -> accept | new client joined: 49766 |2019-12-13 21:48:50
INFO     | tracker.py -> handle_connection | client connected: 49766 |2019-12-13 21:48:50
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:48:50
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:48:50
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:48:50
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:48:50
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:49:41
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:49:44
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:49:44
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:49:44
INFO     | server.py -> accept | new client joined: 49768 |2019-12-13 21:49:44
INFO     | tracker.py -> handle_connection | client connected: 49768 |2019-12-13 21:49:44
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:49:44
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:49:44
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:49:44
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:49:44
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:50:07
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:50:11
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:50:11
INFO     | server.py -> accept | new client joined: 49772 |2019-12-13 21:50:11
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:50:11
INFO     | tracker.py -> handle_connection | client connected: 49772 |2019-12-13 21:50:11
